unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"31C68073-138D-FEE3-E063-4804A8C04F37","330000","2025-03-17","LS1 2BH","F","N","L","FLAT 14","PEARL CHAMBERS, 22","EAST PARADE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/31C68073-138D-FEE3-E063-4804A8C04F37/current"
"34222873-4214-4D2B-E063-4704A8C07853","260000","2025-03-31","LS1 2BH","F","N","L","FLAT 8","PEARL CHAMBERS, 22","EAST PARADE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/34222873-4214-4D2B-E063-4704A8C07853/current"
"36A61A95-6A93-DEF2-E063-4704A8C046AE","44400","2025-05-13","LS1 2DR","F","N","L","","4","YORK PLACE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A95-6A93-DEF2-E063-4704A8C046AE/current"
"4777E0AF-6FEB-5D59-E063-4804A8C09F8E","75000","2025-11-24","LS1 2EX","F","N","L","APARTMENT 23","22","YORK PLACE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-6FEB-5D59-E063-4804A8C09F8E/current"
"3B5CE842-79C0-EE3A-E063-4804A8C0D6F1","207500","2025-07-04","LS1 3BB","F","N","L","FLAT 2","53A","GREAT GEORGE STREET","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-79C0-EE3A-E063-4804A8C0D6F1/current"
"4777E0AF-B40C-5D59-E063-4804A8C09F8E","479995","2025-05-16","LS1 3BW","F","Y","L","APARTMENT 203","41","WOODHOUSE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-B40C-5D59-E063-4804A8C09F8E/current"
"44F406B7-1E20-1095-E063-4704A8C048D4","250000","2025-03-05","LS1 3BW","F","Y","L","APARTMENT 410","41","WOODHOUSE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-1E20-1095-E063-4704A8C048D4/current"
"402A3A66-E7EA-A7DF-E063-4804A8C0B80D","267190","2025-01-23","LS1 3BW","F","Y","L","APARTMENT 506","41","WOODHOUSE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-E7EA-A7DF-E063-4804A8C0B80D/current"
"49E87C33-05E0-591C-E063-4704A8C00C31","257250","2025-01-20","LS1 3BW","F","Y","L","APARTMENT 507","41","WOODHOUSE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C33-05E0-591C-E063-4704A8C00C31/current"
"4777E0AF-B414-5D59-E063-4804A8C09F8E","225000","2025-07-10","LS1 3BW","F","Y","L","APARTMENT 512","41","WOODHOUSE LANE","","LEEDS","LEEDS","WEST YORKSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-B414-5D59-E063-4804A8C09F8E/current"
